Name,Mortality,Original_Mortality,New_Mort,dnbr,Mortality_Qualitative,prefire_cover,new_cover,Veg_Assoc,elev,slope,temp,sr,precip,tpi,cwd,vpd_Aug,twi,Mean Aspect ,flow,area,southwestness,vpd_jan,fri,wind_speed,wind_direction,wind_exposition,elev_d,slope_d,temp_d,sr_d,precip_d,tpi_d,cwd_d,vpd_a_d,twi_d,area_d,vpd_j_d,elev_p,slope_p,temp_p,sr_p,precip_p,tpi_p,cwd_p,vpd_a_p,twi_p,area_p,vpd_j_p,landscape_position,cwd_2
500,5,High,high,0.673806,High,Moderate-High(50-75%),moderate,Chap/Oak,1121.287276,27.279038,31.784403,1150619.242,907.466059,-2.478781,1122.002102,37.055697,5.569133,221.065393,0.983406,7730.521082,-0.70170087,11.619072,100,13.004224,298.912088,1.064725,10%,20%,40%,40%,80%,50%,10%,40%,80%,50%,80%,25%,25%,50%,50%,100%,50%,25%,50%,100%,50%,100%,Midslope with Drainage,888.793851
503,0,None,low,0.063137,None,Moderate-High(50-75%),moderate,Oak,1290.497463,37.350628,33.397367,812990.1518,467.54551,0.632455,1290.324437,44.271318,3.946332,248.581694,0.522623,1291.068234,0.019747814,10.301244,100,8.15944,315.470201,1.017858,40%,90%,70%,10%,10%,90%,40%,80%,20%,20%,60%,50%,100%,75%,25%,25%,100%,50%,100%,25%,25%,75%,Midslope,953.313865
505,0,None,low,0.25621,None,Moderate (25-50%),moderate_low,Chap/Oak,1271.712549,28.511279,33.302775,1150909.104,480.888316,-1.079145,1271.254958,43.757993,5.075711,287.445306,1.039528,10171.73436,0.926216307,10.111533,100,8.069746,316.796341,0.968525,40%,30%,70%,40%,10%,70%,40%,80%,70%,60%,50%,50%,25%,75%,50%,25%,75%,50%,75%,75%,75%,50%,Adjacent to Bed,970.216853
506,0,None,low,-0.055758,None,Moderate-High(50-75%),moderate,Chap/Oak,1373.761353,29.495782,33.259811,971356.0379,489.285622,5.755598,1373.152527,43.061623,3.672138,248.453962,0.251753,2447.125326,-0.107773172,9.825503,100,10.122516,314.596329,1.111512,60%,30%,70%,20%,20%,100%,60%,70%,10%,30%,50%,75%,50%,75%,25%,25%,100%,75%,75%,25%,25%,50%,Midslope ,940.793647
507,0,None,low,0.187692,None,Moderate-High(50-75%),moderate,Chap/Oak,1370.17337,40.131633,33.365469,904723.2409,484.545765,2.338244,1370.248723,42.927206,3.769339,331.896351,0.605032,4252.038064,0.996623418,9.795587,100,11.608677,310.585121,1.08489,60%,100%,70%,20%,10%,100%,60%,70%,10%,40%,50%,75%,100%,75%,25%,25%,100%,75%,75%,25%,50%,50%,Midslope ,945.450117
508,0,None,low,0.244857,None,High (75-100%),high,Chap/Oak,1325.107662,35.37187,33.425629,1093357.299,479.419789,-3.173664,1324.989039,42.870759,4.80525,128.886718,1.031569,7487.889807,-0.2904586,9.804633,100,11.883461,308.801919,1.016366,50%,70%,70%,30%,10%,40%,50%,70%,60%,50%,50%,50%,75%,75%,50%,25%,50%,50%,75%,75%,50%,50%,Midslope ,951.151325
509,2,Low,ml,0.201805,Low,Moderate-High(50-75%),moderate,Chap/Oak,1409.879279,37.556843,33.248157,849533.8178,489.438447,-1.858974,1409.273162,42.429739,4.646235,285.794825,0.762109,10202.5451,-0.449523421,9.686722,100,14.489101,306.253965,1.0932,70%,90%,70%,10%,20%,60%,70%,70%,50%,60%,40%,75%,100%,75%,25%,25%,75%,75%,75%,50%,75%,50%,Midslope ,929.641472
510,1,Very Low,low,0.269859,Low,Moderate (25-50%),moderate_low,Chap/Oak,1455.15613,36.708823,33.072855,910034.8671,496.369032,-1.491377,1455.35123,41.951781,4.182913,85.652409,0.631348,11479.95585,0.43791853,9.598145,100,18.801537,304.606979,1.132802,80%,80%,60%,20%,20%,60%,80%,60%,30%,60%,40%,100%,100%,75%,25%,25%,75%,100%,75%,25%,75%,50%,Midslope ,900.529911
512,1,Very Low,low,0.199448,Low,High (75-100%),high,Chap/Oak,1336.997445,36.155784,33.365435,922017.8457,470.432764,-1.357423,1337.276244,42.414427,4.322623,140.104794,0.855251,75075.31786,-0.997394398,9.722314,100,14.66185,308.006299,1.04398,50%,80%,70%,20%,10%,60%,50%,70%,30%,100%,50%,50%,75%,75%,25%,25%,75%,50%,75%,50%,100%,50%,Midslope ,945.295273
515,2,Low,ml,0.032222,Low,Moderate-High(50-75%),moderate,Chap/Oak,1346.679896,26.690275,32.734506,2347364.529,525.841849,-1.215997,1346.661663,41.367998,4.99968,84.977407,0.885043,8695.336082,-0.21990776,9.28036,100,9.852938,319.415887,1.006118,60%,20%,60%,100%,20%,70%,60%,60%,70%,60%,30%,75%,25%,75%,100%,25%,75%,75%,75%,75%,75%,50%,Adjacent to Bed,930.680536
516,1,Very Low,low,0.080888,Low,Moderate (25-50%),moderate_low,Chap/Oak,1383.573678,34.025473,32.611519,1068298.144,535.378676,2.281809,1383.726057,40.71416,3.878548,242.446354,0.510289,11016.0005,0.166810944,9.105926,100,10.758502,309.422524,1.063935,70%,60%,50%,30%,20%,100%,70%,60%,20%,60%,30%,75%,75%,50%,50%,25%,100%,75%,75%,25%,75%,25%,Midslope,926.753633
517,0,None,low,-0.280006,None,Moderate-High(50-75%),moderate,Chap/Oak,1376.245805,30.262554,32.570661,1830241.611,535.488234,4.394911,1377.082994,40.362872,4.215325,59.038395,0.308338,817.768092,-0.856262827,9.071123,100,13.325931,309.000348,1.038193,60%,40%,50%,90%,20%,100%,60%,60%,30%,10%,30%,75%,50%,50%,100%,25%,100%,75%,75%,50%,25%,25%,Midslope,916.916836
518,1,Very Low,low,0.100271,Low,High (75-100%),high,Chap/Oak,1463.04576,35.287838,32.436983,1022957.16,541.011392,-0.406607,1462.872365,39.34196,4.391242,210.811696,0.738531,47699.87417,-0.051114775,8.898703,100,14.618793,306.686296,1.119199,80%,70%,50%,30%,20%,80%,80%,50%,40%,90%,20%,100%,75%,50%,25%,25%,75%,100%,50%,50%,100%,25%,Midslope ,908.990332
519,0,None,low,0.244854,None,Moderate-High(50-75%),moderate,Chap/Oak,1458.71095,38.038416,32.428055,1451955.815,539.718026,-0.02439,1459.262767,39.507744,3.968885,318.242511,0.631089,5330.691536,0.535861447,9.090233,100,18.173087,298.270181,1.114377,80%,90%,50%,70%,20%,80%,80%,50%,20%,40%,30%,100%,100%,50%,75%,25%,100%,100%,50%,25%,50%,25%,Midslope ,897.725839
520,0,None,low,0.25742,None,Moderate-High(50-75%),moderate,Chap,1491.64518,37.898328,32.847087,1307365.649,514.124054,0.91073,1492.099854,41.692376,4.657605,55.959542,0.922767,4780.106869,0.822191833,9.573689,100,20.898023,298.672954,1.155522,90%,90%,60%,60%,20%,90%,90%,60%,50%,40%,40%,100%,100%,75%,75%,25%,100%,100%,75%,50%,50%,50%,Upmost ,890.172106
521,1,Very Low,low,0.204005,Low,High (75-100%),high,Chap/Oak,1410.32919,32.524396,32.788984,1161778.226,519.808818,-0.973068,1410.137848,42.05146,4.692899,34.106168,0.869873,55564.40835,-0.736225946,9.73146,100,17.829749,297.44442,1.084174,70%,50%,60%,40%,20%,70%,70%,70%,50%,100%,50%,75%,50%,75%,50%,25%,75%,75%,75%,50%,100%,50%,Midslope ,916.624412
522,1,Very Low,low,0.199243,Low,High (75-100%),high,Chap/Oak,1393.482142,30.742991,32.772442,1187932.719,530.275212,-1.369152,1393.203673,42.123815,4.90449,140.624041,0.907284,104886.3716,-0.90172951,9.764109,100,14.873545,297.109655,1.069681,70%,40%,60%,40%,20%,60%,70%,70%,60%,100%,50%,75%,50%,75%,50%,25%,75%,75%,75%,75%,100%,50%,Midslope with Drainage,927.446014
523,2,Low,ml,0.331119,Low,Moderate (25-50%),moderate_low,Chap/Oak,1402.565862,35.790265,32.516934,1649285.26,540.955126,-1.255803,1403.718384,40.870572,4.081889,54.918173,0.676742,16186.00404,0.906522616,9.486521,100,13.836634,296.500273,1.077847,70%,80%,50%,80%,20%,70%,70%,60%,20%,70%,40%,75%,75%,50%,75%,25%,75%,75%,75%,25%,75%,50%,Midslope ,910.65107
525,1,Very Low,low,0.119474,Low,High (75-100%),high,Chap/Oak,1463.101348,34.019253,32.132335,1310129.204,553.162488,-1.864073,1463.346541,38.811426,4.817702,161.297486,0.889296,151290.3054,0.64432124,9.001542,100,16.268687,308.341993,1.100393,80%,60%,40%,60%,30%,60%,80%,50%,60%,100%,20%,100%,75%,50%,75%,25%,75%,100%,50%,75%,100%,25%,Upmost with Drainage,919.410017
528,0,None,low,0.067747,None,Moderate-High(50-75%),moderate,Chap/Oak,1428.445732,43.190914,32.871879,1182051.591,578.789542,-2.003568,1429.007462,42.39068,3.646576,57.539203,0.564019,4297.975822,-0.576476499,9.820997,100,13.722517,292.509576,1.130998,70%,100%,60%,40%,30%,50%,70%,70%,10%,40%,50%,75%,100%,75%,50%,50%,50%,75%,75%,25%,50%,50%,Upmost,944.056984
529,0,None,low,0.350244,None,Moderate (25-50%),moderate_low,Chap/Oak,1357.712948,31.270001,32.838273,2727379.054,579.08415,-4.175903,1357.206866,42.28577,6.509232,231.715815,1.017628,1261.367171,0.907866366,9.858017,100,13.943636,297.21616,0.988229,60%,40%,60%,100%,30%,20%,60%,70%,100%,20%,50%,75%,50%,75%,100%,50%,25%,75%,75%,100%,25%,50%,Adjacent to Bed,942.911611
532,0,None,low,-0.069495,None,Moderate (25-50%),moderate_low,Chap/Oak,1359.732817,26.22976,32.671541,1605066.369,623.230826,-3.028518,1360.072792,41.408793,4.698495,52.101428,0.933274,5888.77077,-0.993848475,9.767151,100,11.780565,301.465216,0.99619,60%,20%,50%,80%,40%,40%,60%,60%,50%,50%,50%,75%,25%,50%,75%,50%,50%,75%,75%,50%,50%,50%,Adjacent to Bed,857.741075
535,1,Very Low,low,0.228097,Low,Low (5-25%),low,Chap/Oak,1407.408376,20.675164,31.585088,1648316.213,806.115551,-2.264749,1407.646003,37.213443,6.054005,74.373551,1.079463,17577.2497,0.985585042,8.94822,100,12.626948,291.601985,0.998862,70%,10%,30%,80%,70%,50%,70%,40%,90%,70%,20%,75%,25%,50%,75%,75%,50%,75%,50%,100%,75%,25%,Adjacent to Bed,819.594335
537,0,None,low,0.447577,None,Moderate (25-50%),moderate_low,Chap/Oak,1459.058904,22.143177,31.326673,2228775.721,810.989085,-3.677766,1459.517559,36.492714,6.578771,166.996086,0.980711,4816.621455,0.115293129,9.013034,100,14.424153,291.944068,1.015134,80%,10%,30%,90%,70%,30%,80%,30%,100%,40%,20%,100%,25%,25%,100%,75%,25%,100%,50%,100%,50%,25%,Valley/River Bottom,812.347747
539,0,None,low,0.07032,None,High (75-100%),high,Chap/Oak,1481.780373,14.739864,31.148748,1905110.063,817.817711,-1.123894,1482.515434,35.400725,5.13142,63.43113,0.680511,1314.501709,-0.221304231,9.092468,100,11.945532,306.164392,1.033312,80%,10%,30%,90%,70%,70%,80%,30%,70%,20%,30%,100%,25%,25%,100%,75%,75%,100%,25%,75%,25%,25%,Adjacent to Bed,800.199886
540,4,Moderate,moderate,0.400236,Moderate,Moderate (25-50%),moderate_low,Chap/Oak,1539.943172,27.116312,31.162883,1100177.296,817.624682,2.540918,1539.764242,35.611498,4.056195,219.717683,0.460922,4064.950039,0.539571447,9.137593,100,12.650313,300.639242,1.158694,90%,20%,30%,40%,70%,100%,90%,30%,20%,40%,30%,100%,25%,25%,50%,75%,100%,100%,25%,25%,50%,25%,Upmost with Drainage,799.97543
545,1,Very Low,low,0.254749,Low,Moderate (25-50%),moderate_low,Conifer,1810.681079,29.026636,29.735752,965012.9298,959.464757,-0.616559,1811.081957,31.293529,4.951414,73.418365,0.817059,73470.68422,0.707255637,8.620059,100,13.277304,308.809704,1.215419,90%,30%,10%,20%,90%,80%,100%,10%,60%,100%,10%,100%,50%,25%,25%,100%,75%,100%,25%,75%,100%,25%,Upmost with Drainage,777.615643
546,3,Moderate,moderate,0.382717,Moderate,Moderate (25-50%),moderate_low,Conifer,1786.537739,33.608367,29.687247,477587.2147,968.692125,1.795174,1786.002715,31.106826,4.256944,219.498646,0.756057,5390.385022,0.709624426,8.54852,100,13.04836,307.67711,1.223925,90%,60%,10%,10%,90%,100%,100%,10%,30%,40%,10%,100%,75%,25%,25%,100%,100%,100%,25%,50%,50%,25%,Midslope,772.329123
547,1,Very Low,low,0.400465,Low,Moderate (25-50%),moderate_low,Conifer,1698.641897,23.545092,29.948507,925773.1183,950.571746,-0.7073,1698.42515,31.912692,5.957545,243.487591,1.050615,11011.0962,0.935202826,8.719608,100,13.496575,305.035035,1.145958,90%,10%,10%,20%,90%,80%,100%,10%,90%,60%,10%,100%,25%,25%,25%,100%,75%,100%,25%,100%,75%,25%,Midslope with Drainage,747.772213
548,5,High,high,0.516879,High,Moderate-High(50-75%),moderate,Conifer,1738.721837,25.491979,29.825361,710198.509,960.164741,-0.292725,1738.531558,31.503524,5.121484,272.056526,0.853658,19211.8979,-0.997731917,8.627147,100,13.315923,305.121704,1.190847,90%,20%,10%,10%,90%,80%,100%,10%,70%,80%,10%,100%,25%,25%,25%,100%,100%,100%,25%,75%,75%,25%,Midslope with Drainage,759.289914
549,5,High,high,0.30015,High,Moderate-High(50-75%),moderate,Conifer,1824.717927,29.515959,29.584508,364636.0786,975.780563,2.425571,1824.423621,30.811377,4.037105,167.320703,0.503554,14381.55978,0.426090635,8.475756,100,12.813831,308.41405,1.253566,90%,30%,10%,10%,90%,100%,100%,10%,20%,70%,10%,100%,50%,25%,25%,100%,100%,100%,25%,25%,75%,25%,Upmost,779.297933
550,4,Moderate,moderate,0.37533,Moderate,Moderate-High(50-75%),moderate,Conifer,1670.570756,30.206365,30.182457,1058598.573,939.853899,-0.078146,1670.155499,32.57544,4.60416,285.989759,0.70927,22630.21297,-0.267981941,8.718348,100,13.991246,301.606032,1.159955,90%,40%,20%,30%,90%,80%,100%,20%,50%,80%,10%,100%,50%,25%,50%,100%,100%,100%,25%,50%,75%,25%,Midslope,749.646258
551,1,Very Low,low,0.204608,Low,Moderate-High(50-75%),moderate,Conifer,1801.593236,30.494835,29.512167,752593.1269,996.625812,0.191732,1801.787142,30.491026,4.624996,138.40184,0.806939,210844.2045,0.202942503,8.471587,100,14.737381,299.780974,1.217086,90%,40%,10%,10%,100%,90%,100%,10%,50%,100%,10%,100%,50%,25%,25%,100%,100%,100%,25%,50%,100%,25%,Midslope with Drainage,744.217224
552,5,High,high,0.618778,High,Moderate-High(50-75%),moderate,Conifer,1686.759192,17.339477,30.181714,1564801.523,956.933991,3.503361,1686.569971,32.274202,3.996675,131.068085,0.2616,5197.252348,0.950528154,8.502095,100,15.591885,300.538982,1.212929,90%,10%,20%,70%,90%,100%,100%,20%,20%,40%,10%,100%,25%,25%,75%,100%,100%,100%,25%,25%,50%,25%,Midslope,747.222553
553,1,Very Low,low,0.202343,Low,Moderate-High(50-75%),moderate,Conifer,1745.764265,19.221939,29.835759,594394.5404,985.526444,1.514236,1745.393802,31.245384,4.993804,254.435834,0.65077,11818.53562,-0.397963768,8.489785,100,16.195533,303.544442,1.218834,90%,10%,10%,10%,90%,100%,100%,10%,60%,70%,10%,100%,25%,25%,25%,100%,100%,100%,25%,75%,75%,25%,Midslope,731.616525
554,3,Moderate,moderate,0.356192,Moderate,Moderate (25-50%),moderate_low,Chap/conifer,1678.306406,26.242018,30.103082,716270.3643,969.288583,0.732584,1679.740431,31.977315,5.358961,28.628179,0.767094,7453.653066,-0.022278307,8.564063,100,16.091696,302.808345,1.157645,90%,20%,10%,10%,90%,90%,100%,10%,80%,50%,10%,100%,25%,25%,25%,100%,100%,100%,25%,75%,50%,25%,Midslope,743.811143
555,2,Low,ml,0.311072,Low,Moderate-High(50-75%),moderate,Chap/conifer,1762.361226,23.093069,29.622851,779969.89,1006.394805,0.022783,1762.678145,30.773003,4.379602,118.40182,0.539348,16693.53991,0.97676894,8.560276,100,16.033449,303.267665,1.215859,90%,10%,10%,10%,100%,80%,100%,10%,40%,70%,10%,100%,25%,25%,25%,100%,100%,100%,25%,50%,75%,25%,Midslope with Drainage,725.97867
556,5,High,high,0.65352,High,Moderate (25-50%),moderate_low,Chap/conifer,1804.089118,24.007753,29.436081,680293.5197,1016.62173,1.020195,1804.962772,30.302304,4.731507,78.878338,0.72012,9441.41207,-0.037594747,8.486787,100,15.999786,300.997216,1.225294,90%,10%,10%,10%,100%,90%,100%,10%,50%,60%,10%,100%,25%,25%,25%,100%,100%,100%,25%,50%,75%,25%,Midslope with Drainage,719.387979
557,3,Moderate,moderate,0.463959,Moderate,Moderate-High(50-75%),moderate,Chap/Oak,1744.813025,15.245819,29.475449,2140455.342,1021.236082,-3.265267,1745.04906,30.517442,6.650752,127.142466,1.165296,2488.128246,-0.892399305,8.60481,100,15.81049,302.305468,1.186273,90%,10%,10%,90%,100%,30%,100%,10%,100%,30%,10%,100%,25%,25%,100%,100%,50%,100%,25%,100%,25%,25%,Midslope with Drainage,717.622763
558,2,Low,ml,0.199049,Low,Low (5-25%),low,Chap/Oak,1716.988449,30.562923,29.359339,1085303.071,1034.464782,-2.573875,1717.496752,30.434709,4.749524,46.327838,0.92326,21220.79619,-0.921597803,8.702842,100,15.086705,300.357827,1.157767,90%,40%,10%,30%,100%,40%,100%,10%,50%,80%,10%,100%,50%,25%,50%,100%,50%,100%,25%,50%,75%,25%,Midslope with Drainage,725.193559
559,1,Very Low,low,0.126804,Low,Moderate-High(50-75%),moderate,Chap/Oak,1797.512778,24.286198,29.186116,1545834.482,1029.696223,-1.719468,1797.676895,29.571742,5.907753,86.200317,1.110919,15234.2338,0.842113394,8.560544,100,15.485621,292.610257,1.19688,90%,10%,10%,70%,100%,60%,100%,10%,90%,70%,10%,100%,25%,25%,75%,100%,75%,100%,25%,100%,75%,25%,Midslope with Drainage,751.725477
560,0,None,low,0.370206,None,Moderate-High(50-75%),moderate,Chap/Oak,1920.633952,25.973427,29.089287,172975.8333,1023.071248,2.542847,1920.633952,29.06917,3.386356,56.504089,0.100343,289.963497,0.408403197,8.54634,100,14.658467,289.160797,1.294048,90%,20%,10%,10%,100%,100%,100%,10%,10%,10%,10%,100%,25%,25%,25%,100%,100%,100%,25%,25%,25%,25%,Upmost,784.90863
561,1,Very Low,low,-0.012735,Low,Moderate-High(50-75%),moderate,Chap/conifer,1877.336478,32.922565,29.022589,495521.299,1031.396967,-0.126326,1877.498104,29.003483,4.525085,40.387664,0.728686,33158.30422,-0.737368109,8.559213,100,15.198401,286.533812,1.241371,90%,60%,10%,10%,100%,80%,100%,10%,40%,90%,10%,100%,75%,25%,25%,100%,100%,100%,25%,50%,100%,25%,Upmost,772.690704
562,1,Very Low,low,0.207456,Low,Moderate-High(50-75%),moderate,Chap/Oak,1624.086626,36.495666,29.202982,2067290.219,995.047688,-3.425432,1624.865252,29.47803,4.803488,130.277916,0.908078,8278.217269,0.889610635,8.577865,74,10.518568,309.204303,1.115445,90%,80%,10%,90%,100%,30%,100%,10%,60%,60%,10%,100%,100%,25%,100%,100%,50%,100%,25%,75%,75%,25%,Midslope with Drainage,793.444032
563,0,None,low,0.125607,None,High (75-100%),high,Chap/Oak,1671.234345,35.047601,29.230936,2278522.204,994.431015,-1.677043,1671.620406,29.722212,4.959945,142.658755,0.875879,37219.5648,0.790092768,8.483368,100,10.398627,307.095667,1.125227,90%,70%,10%,90%,100%,60%,100%,10%,60%,90%,10%,100%,75%,25%,100%,100%,75%,100%,25%,75%,100%,25%,Adjacent to Bed,791.089601
564,2,Low,ml,0.093104,Low,Low (5-25%),low,Chap/Oak,1692.836562,37.306087,29.179525,2079992.741,1000.753975,0.397481,1692.083512,29.56009,4.707419,244.644233,0.775354,33111.66556,0.700515251,8.503864,100,10.449987,305.94389,1.14295,90%,90%,10%,90%,100%,90%,100%,10%,50%,90%,10%,100%,100%,25%,100%,100%,100%,100%,25%,50%,100%,25%,Midslope with Drainage,786.857225
565,2,Low,ml,0.219312,Low,Moderate (25-50%),moderate_low,Chap/Oak,1808.362575,38.710981,29.223478,1212796.271,1001.274819,-1.488767,1806.363794,29.875518,4.461556,261.369879,0.963423,3994.369779,0.239221006,8.444118,100,11.510248,302.450493,1.211688,90%,90%,10%,50%,100%,60%,100%,10%,40%,40%,10%,100%,100%,25%,50%,100%,75%,100%,25%,50%,50%,25%,Midslope,769.651912
567,0,None,low,-0.040342,None,Low (5-25%),low,Chap/Oak,1791.414949,40.748018,28.887144,1520466.307,1025.613804,-0.420614,1790.754148,28.491044,4.484892,227.179642,0.788778,32888.55004,-0.571920937,8.63028,74,13.402712,295.700046,1.190726,90%,100%,10%,70%,100%,80%,100%,10%,40%,90%,10%,100%,100%,25%,75%,100%,75%,100%,25%,50%,100%,25%,Upmost with Drainage,792.453702
568,0,None,low,0.134919,None,Moderate-High(50-75%),moderate,Chap/Oak,1757.372772,39.060133,28.934401,1308702.712,1014.710107,0.3478,1758.654051,28.691204,3.764103,145.135168,0.603293,6126.171918,-0.243313605,8.652149,74,11.895673,310.397288,1.211355,90%,90%,10%,60%,100%,90%,100%,10%,10%,50%,10%,100%,100%,25%,75%,100%,100%,100%,25%,25%,50%,25%,Upmost with Drainage,797.092203
569,0,None,low,0.199877,None,Moderate (25-50%),moderate_low,Chap/Oak,1327.033329,35.312836,29.670283,1917805.754,1031.737141,-2.787929,1327.752938,31.913819,4.404934,62.354829,0.734005,2436.446014,0.753355187,9.118987,74,12.575879,327.931177,0.992211,50%,70%,10%,90%,100%,40%,50%,10%,40%,30%,30%,50%,75%,25%,100%,100%,50%,50%,25%,50%,25%,25%,Adjacent to Bed,780.160913
571,0,None,low,-0.013992,None,Low (5-25%),low,Chap/Oak,1804.782213,40.208523,28.694833,1501484.905,1036.772008,0.773448,1803.990792,28.406925,4.712989,244.640217,0.850381,11610.55136,0.703375563,8.638805,74,14.70959,296.365199,1.199771,90%,100%,10%,70%,100%,90%,100%,10%,50%,70%,10%,100%,100%,25%,75%,100%,100%,100%,25%,50%,75%,25%,Midslope,794.527918
572,0,None,low,-0.304107,None,Moderate-High(50-75%),moderate,Chap/Oak,1784.13151,41.180163,28.721514,503127.1979,1043.537292,-0.545776,1784.13151,28.585547,4.375088,293.934128,0.514689,371.050759,0.9836803,8.618634,74,16.656389,302.636597,1.21285,90%,100%,10%,10%,100%,80%,100%,10%,40%,10%,10%,100%,100%,25%,25%,100%,75%,100%,25%,50%,25%,25%,Midslope with Drainage,788.851648
573,0,None,low,0.28703,None,Low (5-25%),low,Chap/Oak,1689.678005,45.175716,28.83602,1629372.411,1043.134739,-8.352958,1689.678005,28.62257,4.438995,293.641315,0.814633,1222.024045,0.889875845,8.656312,74,15.556113,309.534566,1.157832,90%,100%,10%,80%,100%,10%,100%,10%,40%,20%,10%,100%,100%,25%,75%,100%,25%,100%,25%,50%,25%,25%,Midslope with Drainage,797.417358
574,2,Low,ml,0.394731,Low,Moderate (25-50%),moderate_low,Chap/Oak,1588.607953,39.940559,28.904512,1074428.392,1037.282293,-1.358901,1587.641824,28.758065,3.844085,317.271543,0.68985,13219.07412,-0.394423385,8.732604,74,13.016314,318.133488,1.152994,90%,100%,10%,30%,100%,60%,100%,10%,20%,70%,10%,100%,100%,25%,50%,100%,75%,100%,25%,25%,75%,25%,Midslope with Drainage,808.671802
575,0,None,low,0.054589,None,Moderate-High(50-75%),moderate,Chap/Oak,1675.763875,33.937072,29.000295,1057173.264,1048.769975,-0.723835,1675.137054,28.972121,4.37463,285.11841,0.859642,2950.765358,-0.909735578,8.650227,74,17.598312,309.508643,1.177374,90%,60%,10%,30%,100%,80%,100%,10%,40%,30%,10%,100%,75%,25%,50%,100%,75%,100%,25%,50%,50%,25%,Midslope with Drainage,800.723952
576,2,Low,ml,0.536062,Low,Moderate-High(50-75%),moderate,Chap/Oak,1629.673869,39.392215,29.117835,1040520.662,1051.35407,-2.293891,1629.04277,29.270521,3.880745,304.837438,0.624495,5621.241951,-0.269789739,8.659519,74,17.569468,309.02288,1.174647,90%,100%,10%,30%,100%,50%,100%,10%,20%,50%,10%,100%,100%,25%,25%,100%,50%,100%,25%,25%,50%,25%,Midslope with Drainage,805.207943
577,5,High,high,0.737654,High,Moderate-High(50-75%),moderate,Chap/Oak,1542.882896,37.341667,29.259169,1117641.897,1046.840528,-0.577062,1541.769413,29.687898,4.464715,321.093411,0.794525,10098.60097,-0.271388196,8.736148,74,16.151727,314.959869,1.147914,90%,90%,10%,40%,100%,80%,90%,10%,40%,60%,10%,100%,100%,25%,50%,100%,75%,100%,25%,50%,75%,25%,Midslope,820.787029
579,0,None,low,0.355778,None,High (75-100%),high,Chap/Oak,1406.501403,34.900906,29.727042,1094280.139,1064.52334,-4.774837,1406.99827,31.495679,4.170829,278.527524,0.687006,6727.981769,-0.992754798,9.13092,74,14.302935,301.335326,1.080465,70%,70%,10%,30%,100%,20%,70%,10%,30%,50%,30%,75%,75%,25%,50%,100%,25%,75%,25%,25%,50%,25%,Adjacent to Bed,841.616861
580,2,Low,ml,0.426963,Low,Moderate (25-50%),moderate_low,Chap/Oak,1374.827013,34.347633,29.877401,1575824.699,1037.417444,-5.857912,1374.823823,32.81899,5.139764,50.967432,1.07568,13936.86432,-0.320089801,9.409012,74,12.115508,325.534945,1.054928,60%,70%,10%,70%,100%,10%,60%,20%,70%,70%,40%,75%,75%,25%,75%,100%,25%,75%,25%,75%,75%,50%,Midslope with Drainage,788.825936
581,3,Moderate,moderate,0.274377,Moderate,Moderate (25-50%),moderate_low,Chap/Oak,1092.391517,30.659669,31.233546,1239543.678,962.329185,-5.56607,1093.120686,36.285149,5.056346,31.808616,1.396696,3755.103597,-0.016563438,10.853021,74,10.804398,306.5657,0.921091,10%,40%,30%,50%,90%,20%,10%,30%,70%,40%,70%,25%,50%,25%,50%,100%,25%,25%,50%,75%,50%,75%,Adjacent to Bed,911.96889
582,1,Very Low,low,0.421894,Low,Moderate (25-50%),moderate_low,Chap/Oak,992.891402,32.481226,32.208928,1314418.628,899.048587,1.909213,993.362521,38.343357,3.931436,35.436053,0.656524,3197.835751,0.481537841,12.065412,100,11.833949,306.047166,1.006625,10%,50%,40%,60%,80%,100%,10%,40%,20%,30%,90%,25%,50%,50%,75%,75%,100%,25%,50%,25%,50%,100%,Midslope,885.791383
583,5,High,high,0.532806,High,Low (5-25%),low,Chap/Oak,978.183059,31.916549,32.137561,1140623.903,900.965159,-3.823951,978.343055,38.169294,5.085184,148.748238,0.936625,9345.45179,0.657320754,12.036259,100,12.131609,304.838209,0.939687,10%,50%,40%,40%,80%,30%,10%,40%,70%,60%,90%,25%,50%,50%,50%,75%,25%,25%,50%,75%,75%,100%,Adjacent to Bed,892.326029
584,5,High,high,0.603798,High,Moderate-High(50-75%),moderate,Chap/Oak,1014.849469,31.898726,32.354071,975120.175,897.756075,-1.030889,1014.795738,38.783461,4.99581,267.841424,0.865305,17574.13267,0.416800971,12.307859,100,12.786907,304.279302,1.024459,10%,50%,50%,20%,80%,70%,10%,50%,60%,70%,100%,25%,50%,50%,25%,75%,75%,25%,50%,75%,75%,100%,Upmost with Drainage,926.258895
585,5,High,high,0.48707,High,High (75-100%),high,Chap/Oak,1023.041735,26.044754,32.148519,1259790.042,901.836326,-2.732952,1023.041735,38.368723,6.16188,99.897163,1.184175,5683.703058,0.846793114,12.151491,100,12.408566,299.463224,0.99511,10%,20%,40%,50%,80%,40%,10%,40%,100%,50%,90%,25%,25%,50%,50%,75%,50%,25%,50%,100%,50%,100%,Midslope with Drainage,924.585035
